Feature,KS Statistic,KS p-value,Jensen-Shannon Distance,Wasserstein Distance
node8_node8.MemAvailable,0.07092666731158304,0.15876466375368037,0.16431733986606578,0.07389519117774064
node7_node7.branch-misses,0.06306972288078999,0.26812175158017915,0.13177376627890594,0.10282589811432866
node8_node8.MemFree,0.07147191483792331,0.15273499182296635,0.1643925932301851,0.07388879179046463
node8_node8.AnonPages,0.06820553814223723,0.19173818826569622,0.16426935044694102,0.07389648911713191
node1_node1.MemFree,0.07047110886482466,0.16394671256111293,0.1612627542374824,0.07370472239607993
node3_node3.MemAvailable,0.07041401048178875,0.16460558471134723,0.16663143750826775,0.07354697955486378
node9_node9.branch-misses,0.05879284059993781,0.34692451438006155,0.1334156971349027,0.09816771759734122
node0_node0.MemFree,0.07200164298495604,0.14705392441238263,0.171374590504236,0.0741641057241654
node6_node6.socket1.temp,0.03421253634767962,0.9249870904981272,0.1102843098489433,0.027224793145901184
node8_node8.Active-anon,0.06735488216393953,0.20307334713355418,0.16491219554908487,0.07388428722576806
node8_node8.Active,0.0672586620122324,0.2043873693825855,0.16534055351287413,0.07387460791942368
node10_node10.branch-misses,0.058728370511730854,0.34822024086689773,0.13322563997702416,0.10952626097508049
node5_node5.Active-anon,0.06860167029906361,0.1866303717009673,0.16172006680948386,0.07485923528685803
node2_node2.Active,0.068480425148223,0.18818233101843096,0.16919115095038254,0.07352446000684418
node1_node1.Active,0.07051217055590936,0.16347418769161837,0.1614687099502818,0.07363464313265626
node2_node2.Active-anon,0.068480425148223,0.18818233101843096,0.1694444709229407,0.07353342597885938
node1_node1.Active-anon,0.0722280965946861,0.144677733495982,0.16160577400803455,0.07364248464123362
node6_node6.branch-misses,0.06743661756162614,0.20196225629026698,0.14066965164050943,0.11301623792434815
node3_node3.Active,0.06749022408431782,0.2012360921170342,0.16839038034894835,0.07351139594629937
node11_node11.branch-misses,0.06387770056599176,0.2548124537680819,0.13082958344960643,0.11066222464596986
node5_node5.branch-misses,0.06369340793671402,0.2578046092942914,0.14221024376358507,0.11286690409966403
node3_node3.MemFree,0.07043004717374002,0.1644203214974499,0.16659559174416838,0.07354186276101958
node0_node0.branch-misses,0.06964017543106371,0.17374376297135818,0.1281889129954421,0.09837758865827491
node3_node3.branch-misses,0.05597322803606908,0.40651818145455787,0.14075955122516393,0.11243313195884304
node9_node9.Active-anon,0.06551454243438015,0.22935352056569758,0.16135620730438013,0.07415631183259482
node11_node11.AnonPages,0.07305249895632177,0.1362873420176991,0.17262604660737757,0.07463891680773618
node0_node0.MemAvailable,0.07225823005617504,0.14436388546062784,0.17136849909660135,0.07416900037852638
node2_node2.MemAvailable,0.07303258241954358,0.13648529395824893,0.16750886025685433,0.073543655344854
node1_node1.branch-misses,0.07334536257667218,0.13340332075277672,0.13762841741161302,0.10639414520120435
node2_node2.branch-misses,0.058841855972917634,0.3459415268121686,0.13028809689738405,0.09612914127951482
node3_node3.AnonPages,0.06814772845431638,0.19249260535845913,0.16758759172304843,0.0735291580620765
node2_node2.AnonPages,0.06801536108163864,0.19422868692923012,0.16906314365142622,0.07354207326311357
node10_node10.Active-anon,0.068480425148223,0.18818233101843096,0.16401566134816123,0.07300571689927836
node3_node3.Active-anon,0.06755437085212257,0.20036979777755248,0.16741337223803288,0.0735201086564293
node5_node5.MemAvailable,0.07066141525358405,0.16176583477068118,0.1622063609723517,0.07486623618750353
node8_node8.socket0.temp,0.05882245674878317,0.3463303521047446,0.1109585041778045,0.07932895815733154
node0_node0.Active,0.07230899135932695,0.14383643325675766,0.17267339157709194,0.07413324005891123
node4_node4.instructions,0.05738109439559003,0.37602072130617503,0.1442386686435357,0.04966757350950928
node2_node2.socket1.temp,0.015560505662762902,0.9999999502802884,0.10987986356531895,0.023052851272346887
node3_node3.socket1.temp,0.024433904774123216,0.9977557311478942,0.13233946405391095,0.024138677782687225
node4_node4.branch-misses,0.05359294323476632,0.4612623500265245,0.13165209714735365,0.11523072741495394
node1_node1.cache-misses,0.06423509893862964,0.2490827853946922,0.16788364770387426,0.06984011388746825
node1_node1.AnonPages,0.07160266560858991,0.1513166703331591,0.16126763800403773,0.07365489063410818
node7_node7.AnonPages,0.0662352882750572,0.21877040249826485,0.16697838517987587,0.07447713433518496
node5_node5.cache-misses,0.07450103902244465,0.12250266431569501,0.18856393948671427,0.06730170238557531
node5_node5.AnonPages,0.06861770699101477,0.18642584952024488,0.16201623959045297,0.0748690728523192
node6_node6.Active,0.06509668314652312,0.23566344373657577,0.1636103034517117,0.07496896986547603
node5_node5.instructions,0.0855483798543972,0.05069185198886084,0.16355330930477968,0.053282495953627745
node10_node10.MemAvailable,0.07058123179382814,0.1626818938195832,0.16495675323828618,0.07303001684802887
node10_node10.socket1.temp,0.0159453862695913,0.9999998827634609,0.09870886414397514,0.021751255466503572
